Season,League,Trans,YrAdj,FirstName,LastName,Pos,Team,GP,G,A,PTS,GC,WCe ,PIM,PlusMinus,Shots,PPG,PPA,SHG,SHA,ENG,SOShot,SOG,AGP,AG,AA,APTS,AGC,TmGP,TmG,TmA,ExpPts,ExpGC,PAX,GCAX
2009,CIS,0.36,1.15,Kaitlyn,Abbass,F,Saint Mary's,24,3,6,9,3.9,3.2,10,-7,33,0,,0,,0,,,24,3,7,10,4.5,399,80,100,13.1,5.9,-4.1,-2
2010,CIS,0.36,1.17,Kaitlyn,Abbass,F,Saint Mary's,24,3,2,5,2.2,1.8,12,-9,40,0,,0,,0,,,24,4,2,6,2.6,413,58,84,10.1,4.1,-5.1,-1.9
2011,CIS,0.36,1.13,Kaitlyn,Abbass,F,Saint Mary's,24,7,4,11,5.2,4,36,-24,75,2,,0,,0,,,24,8,5,12,5.8,389,31,37,4.5,1.9,6.5,3.3
2012,CIS,0.36,1.24,Kaitlyn,Abbass,F,Saint Mary's,18,5,3,8,3.5,2.9,33,0,39,1,,1,,0,,,18,6,4,10,4.4,378,34,50,4.6,1.7,3.4,1.8
2012,CIS,0.36,1.24,Wendy,Abramenko,D,Carleton,18,0,4,4,1.2,1.4,45,0,0,0,,0,,0,,,18,0,5,5,1.5,295,44,71,4.8,1.9,-0.8,-0.7
2011,CIS,0.36,1.13,Jessica,Abt,F,Alberta,14,2,1,3,1.3,1.1,2,1,13,0,0,0,0,0,0,0,14,2,1,3,1.5,431,58,88,5.8,2.3,-2.8,-0.9
2012,CIS,0.36,1.24,Jessica,Abt,F,Alberta,11,0,0,0,0,0,8,-1,9,0,0,0,0,0,0,0,11,0,0,0,0,504,67,89,4.2,1.8,-4.2,-1.8
2016,CIS,0.36,1.38,Hunter,Accursi,F,Brock,17,1,1,2,0.8,0.7,2,0,0,0,,0,,0,,,24,1,1,3,1.1,431,51,81,6.4,2.5,-4.4,-1.6
2011,CIS,0.36,1.13,Brittany,Agius,F,Brock,8,0,0,0,0,0,0,0,0,0,,0,,0,,,8,0,0,0,0,464,73,114,3.9,1.5,-3.9,-1.5
2012,CIS,0.36,1.24,Brittany,Agius,F,Brock,18,0,0,0,0,0,10,-1,0,0,,0,,0,,,18,0,0,0,0,468,50,73,5.9,2.4,-5.9,-2.4
2009,CIS,0.36,1.15,Shelby,Aitcheson,D,Queen's,27,1,6,7,2.4,2.5,36,0,0,0,,1,,0,,,27,1,7,8,2.8,433,91,143,10.1,4,-3.1,-1.6
2010,CIS,0.36,1.17,Shelby,Aitcheson,D,Queen's,27,2,6,8,2.9,2.9,14,0,0,2,,0,,0,,,27,2,7,9,3.3,433,72,116,8,3.1,0,-0.2
2015,CIS,0.36,1.44,Channia,Alexander,D,Mount Royal,28,2,7,9,3.4,3.2,4,4,66,0,3,0,0,0,0,0,28,3,10,13,4.9,503,49,72,4.4,1.8,4.6,1.5
2016,CIS,0.36,1.38,Channia,Alexander,D,Mount Royal,28,2,6,8,3.1,2.9,4,-3,43,1,,0,,0,,,24,3,8,11,4.3,491,44,62,4,1.7,4,1.4
2012,CIS,0.36,1.24,Cylenna,Alexander,D,Mount Royal,12,0,0,0,0,0,8,-4,2,0,0,0,0,0,0,0,12,0,0,0,0,492,48,68,1.9,0.8,-1.9,-0.8
2013,CIS,0.36,1.31,Cylenna,Alexander,D,Mount Royal,19,1,2,3,1.4,1.1,14,-5,8,0,0,0,0,0,0,0,19,1,3,4,1.8,504,44,49,2.4,1.1,0.6,0.3
2014,CIS,0.36,1.37,Cylenna,Alexander,D,Mount Royal,24,0,1,1,0.3,0.4,6,-10,6,0,0,0,0,0,0,0,24,0,1,1,0.4,500,38,58,3.2,1.3,-2.2,-1
2015,CIS,0.36,1.44,Cylenna,Alexander,D,Mount Royal,28,1,1,2,0.8,0.7,14,-11,13,0,0,0,0,0,0,0,28,1,1,3,1.2,503,49,72,4.7,1.9,-2.7,-1
2016,CIS,0.36,1.38,Cylenna,Alexander,D,Mount Royal,21,0,1,1,0.4,0.4,8,-6,4,0,,0,,0,,,24,0,1,1,0.5,491,44,62,3.1,1.3,-2.1,-1
2016,CIS,0.36,1.38,Olivia,Alexander,F,Lethbridge,16,0,1,1,0.4,0.4,4,-6,1,0,,0,,0,,,24,0,1,1,0.5,504,36,48,3.3,1.4,-2.3,-1
2016,CIS,0.36,1.38,Shana,Alexander,F,Western,24,3,2,5,2.2,1.8,8,0,0,0,,0,,0,,,24,4,3,7,3,431,68,102,11.7,4.6,-6.7,-2.4
2013,CIS,0.36,1.31,Marita,Alfieri,F,Dalhousie,22,2,6,8,3.3,2.9,10,3,43,0,,0,,0,,,22,3,8,10,4.4,429,49,63,6.7,3,1.3,0.3
2014,CIS,0.36,1.37,Marita,Alfieri,F,Dalhousie,22,8,4,12,5.4,4.3,4,-1,64,1,,1,,0,,,22,11,5,16,7.4,396,54,78,8.5,3.2,3.5,2.1
